I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrangeundercover,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n,lagrange
100,Medium,0,3,896.0,896.0,46,896.0,8.96,722.0,7.22,4.0,0.04,0.08897,-0.37857,-0.17224,,,,,,,,,,,896.0
100,Medium,0,5,898.0,896.0,44,898.0,8.98,721.0,7.21,1.0,0.01,0.13203,-0.45489,-0.17967,,,,,,,,,,,898.0
100,Medium,0,7,899.0,896.0,41,899.0,8.99,689.00001,6.89,0.0,0.0,0.13203,-0.42857,-0.18495,,,,,,,,,,,899.0
100,Medium,0.02,3,923.63182,916.64357,172,923.632,9.23632,354.0,3.54,17.632,0.17632,0.45604,-0.24675,0.00982,,,,,,,,,,,923.632
100,Medium,0.02,5,927.2,923.40605,172,927.2,9.272,362.0,3.62,26.2,0.262,0.40476,-0.24675,-0.01041,,,,,,,,,,,927.2
100,Medium,0.02,7,935.16,929.93126,182,935.16,9.3516,361.0,3.61,29.16,0.2916,0.6581,-0.18944,0.02084,,,,,,,,,,,935.16
100,Medium,0.04,3,943.32,937.38605,156,943.32,9.4332,347.0,3.47,38.32,0.3832,0.45604,-0.18944,-0.01047,,,,,,,,,,,943.32
100,Medium,0.04,5,959.96,950.48464,141,959.96,9.5996,351.0,3.51,41.96,0.4196,0.6581,-0.23292,0.0287,,,,,,,,,,,959.96
100,Medium,0.04,7,968.6,962.11053,140,968.6,9.686,324.0,3.24,47.6,0.476,0.6581,-0.18944,-0.00612,,,,,,,,,,,968.6
100,Medium,0.06,3,965.92,957.35048,131,965.92,9.6592,335.0,3.35,42.92,0.4292,0.28476,-0.17857,-0.02816,,,,,,,,,,,965.92
100,Medium,0.06,5,984.36,975.83577,127,984.36,9.8436,319.0,3.19,57.36,0.5736,0.54099,-0.18944,0.01757,,,,,,,,,,,984.36
100,Medium,0.06,7,996.96,990.43231,109,996.96,9.9696,305.0,3.05,63.96,0.6396,0.6581,-0.18944,-0.00814,,,,,,,,,,,996.96
100,Medium,0.08,3,983.36,974.84637,119,983.36,9.8336,312.0,3.12,53.36,0.5336,0.29752,-0.23292,-0.05868,,,,,,,,,,,983.36
100,Medium,0.08,5,1001.92,996.69716,106,1001.92,10.0192,289.0,2.89,62.92,0.6292,0.6581,-0.18944,-0.02392,,,,,,,,,,,1001.92
100,Medium,0.08,7,1024.4,1015.2969,90,1024.4,10.244,263.0,2.63,69.4,0.694,0.6581,-0.17857,0.00594,,,,,,,,,,,1024.4
100,Medium,0.1,3,998.0,990.39388,110,998.0,9.98,301.0,3.01,63.0,0.63,0.29752,-0.18944,-0.0737,,,,,,,,,,,998.0
100,Medium,0.1,5,1025.79999,1015.63514,101,1025.8,10.258,258.0,2.58,102.8,1.028,0.45604,-0.18944,-0.05136,,,,,,,,,,,1025.8
100,Medium,0.1,7,1042.8,1035.7099,75,1042.8,10.428,225.0,2.25,73.8,0.738,0.45604,-0.1369,-0.02909,,,,,,,,,,,1042.8
