I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrangeundercover,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n,lagrange
50,Medium,0,3,479.0,477.0,38,479.0,8.70909,359.0,6.52727,0,0,0.25404,-0.40226,-0.16775,,,,,,,,,,,479.0
50,Medium,0,4,478.0,477.0,28,478.0,8.69091,340.0,6.18182,0,0,0.07143,-0.30952,-0.19747,,,,,,,,,,,478.0
50,Medium,0,5,478.0,477.0,33,478.0,8.69091,331.0,6.01818,0,0,0.15476,-0.37857,-0.19031,,,,,,,,,,,478.0
50,Medium,0,6,477.0,477.0,32,477.0,8.67273,313.0,5.69091,0,0,0.14643,-0.42857,-0.15454,,,,,,,,,,,477.0
50,Medium,0,7,479.0,477.0,36,479.0,8.70909,311.0,5.65455,0,0,0.05404,-0.29114,-0.0974,,,,,,,,,,,479.0
50,Medium,0.02,3,479.66,477.6505,117,479.66,8.72109,144.0,2.61818,0.66,0.012,0.24476,-0.23292,-0.09365,,,,,,,,,,,479.66
50,Medium,0.02,4,479.78,478.67775,128,479.78,8.72327,142.0,2.58182,1.78,0.03236,0.24476,-0.17857,-0.08437,,,,,,,,,,,479.78
50,Medium,0.02,5,484.0,479.28183,112,484.0,8.8,130.0,2.36364,2.0,0.03636,0.24476,-0.17857,-0.06143,,,,,,,,,,,484.0
50,Medium,0.02,6,485.0,480.04594,138,485.0,8.81818,123.0,2.23636,4.0,0.07273,0.24476,-0.17857,-0.06681,,,,,,,,,,,485.0
50,Medium,0.02,7,482.62,481.7737,152,482.62,8.77491,121.0,2.2,4.62,0.084,0.24476,-0.17857,-0.07986,,,,,,,,,,,482.62
50,Medium,0.04,3,483.04,478.28239,119,483.04,8.78255,171.0,3.10909,1.04,0.01891,-0.03968,-0.23292,-0.13028,,,,,,,,,,,483.04
50,Medium,0.04,4,484.48,480.31277,102,484.48,8.80873,142.0,2.58182,3.48,0.06327,0.01056,-0.18944,-0.09915,,,,,,,,,,,484.48
50,Medium,0.04,5,485.76,481.32243,113,485.76,8.832,133.0,2.41818,3.76,0.06836,0.45604,-0.17857,-0.06442,,,,,,,,,,,485.76
50,Medium,0.04,6,485.13951,482.99672,122,485.13951,8.82072,126.0,2.29091,8.13951,0.14799,0.24476,-0.17857,-0.06962,,,,,,,,,,,485.139
50,Medium,0.04,7,490.16,486.25597,118,490.16,8.912,122.0,2.21818,7.16,0.13018,0.24476,-0.17857,-0.06913,,,,,,,,,,,490.16
50,Medium,0.06,3,480.92,478.89619,109,480.92,8.744,162.0,2.94545,1.92,0.03491,0.1131,-0.18944,-0.11216,,,,,,,,,,,480.92
50,Medium,0.06,4,486.18,481.75389,97,486.18,8.83964,136.0,2.47273,3.18,0.05782,0.24476,-0.17857,-0.09023,,,,,,,,,,,486.18
50,Medium,0.06,5,487.84,482.83599,105,487.84,8.86982,125.0,2.27273,3.84,0.06982,0.24476,-0.17857,-0.07101,,,,,,,,,,,487.84
50,Medium,0.06,6,488.52,485.30456,108,488.52,8.88218,117.0,2.12727,5.52,0.10036,0.24476,-0.17857,-0.05519,,,,,,,,,,,488.52
50,Medium,0.06,7,494.56,489.63626,110,494.56,8.992,111.0,2.01818,7.56,0.13745,0.15476,-0.17857,-0.06769,,,,,,,,,,,494.56
50,Medium,0.08,3,481.01699,479.49236,100,481.01699,8.74576,160.0,2.90909,3.01699,0.05485,-0.04396,-0.23292,-0.1241,,,,,,,,,,,481.017
50,Medium,0.08,4,486.96,482.7236,98,486.96,8.85382,140.0,2.54545,3.96,0.072,0.24476,-0.18944,-0.08768,,,,,,,,,,,486.96
50,Medium,0.08,5,486.52,483.88165,80,486.52,8.84582,122.0,2.21818,3.52,0.064,0.1131,-0.17857,-0.07881,,,,,,,,,,,486.52
50,Medium,0.08,6,491.24,486.83889,102,491.24,8.93164,115.0,2.09091,6.24,0.11345,0.1131,-0.17857,-0.07158,,,,,,,,,,,491.24
50,Medium,0.08,7,496.0,491.92808,92,496.0,9.01818,111.0,2.01818,8.0,0.14545,0.28476,-0.12857,-0.0561,,,,,,,,,,,496.0
50,Medium,0.1,3,484.1,480.03871,93,484.1,8.80182,168.0,3.05455,2.1,0.03818,-0.04396,-0.23292,-0.12907,,,,,,,,,,,484.1
50,Medium,0.1,4,485.9,483.37959,92,485.9,8.83455,130.0,2.36364,2.9,0.05273,0.1131,-0.23292,-0.08526,,,,,,,,,,,485.9
50,Medium,0.1,5,489.8,484.76205,80,489.8,8.90545,123.0,2.23636,3.8,0.06909,0.1131,-0.17857,-0.0804,,,,,,,,,,,489.8
50,Medium,0.1,6,488.9,487.80158,81,488.9,8.88909,108.0,1.96364,4.9,0.08909,-0.03968,-0.17857,-0.06926,,,,,,,,,,,488.9
50,Medium,0.1,7,494.5,493.6208,91,494.5,8.99091,109.0,1.98182,6.5,0.11818,0.24476,-0.12857,-0.05006,,,,,,,,,,,494.5
