I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrangeundercover,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n,lagrange
50,Medium,0,3,212.0,211.0,69,212.0,4.71111,369.0,8.2,0,0,0.20008,-0.53968,-0.19904,,,,,,,,,,,212.0
50,Medium,0,4,213.0,211.0,54,213.0,4.73333,373.0,8.28889,0,0,0.1131,-0.53274,-0.17481,,,,,,,,,,,213.0
50,Medium,0,5,213.0,211.0,50,213.0,4.73333,386.0,8.57778,0,0,0.15476,-0.48413,-0.23282,,,,,,,,,,,213.0
50,Medium,0,6,212.0,211.0,65,212.0,4.71111,368.0,8.17778,0,0,0.14643,-0.53968,-0.18149,,,,,,,,,,,212.0
50,Medium,0,7,211.0,211.0,51,210.0,4.66667,369.0,8.2,0,0,0.07143,-0.48413,-0.20413,,,,,,,,,,,211.0
50,Medium,0.02,3,216.14,215.01583,178,216.14,4.80311,224.0,4.97778,4.14,0.092,0.1131,-0.24675,-0.15527,,,,,,,,,,,216.14
50,Medium,0.02,4,218.0,217.62366,184,218.0,4.84444,208.0,4.62222,7.0,0.15556,0.1131,-0.29221,-0.14377,,,,,,,,,,,218.0
50,Medium,0.02,5,223.6,221.49331,192,223.6,4.96889,204.0,4.53333,10.6,0.23556,0.24476,-0.24675,-0.11476,,,,,,,,,,,223.6
50,Medium,0.02,6,225.72,224.3058,163,225.72,5.016,199.0,4.42222,11.72,0.26044,0.24476,-0.30952,-0.1168,,,,,,,,,,,225.72
50,Medium,0.02,7,229.12,226.34128,157,229.12,5.09156,198.0,4.4,11.12,0.24711,0.24476,-0.24675,-0.12546,,,,,,,,,,,229.12
50,Medium,0.04,3,220.08,218.87068,169,220.08,4.89067,219.0,4.86667,6.08,0.13511,0.24476,-0.30952,-0.14433,,,,,,,,,,,220.08
50,Medium,0.04,4,225.6,223.7591,157,225.6,5.01333,203.0,4.51111,10.6,0.23556,0.24476,-0.30952,-0.13496,,,,,,,,,,,225.6
50,Medium,0.04,5,233.04,230.84383,149,233.04,5.17867,200.0,4.44444,14.04,0.312,0.24476,-0.24675,-0.13237,,,,,,,,,,,233.04
50,Medium,0.04,6,237.32,234.87211,168,237.32,5.27378,178.0,3.95556,12.32,0.27378,0.19643,-0.23292,-0.0999,,,,,,,,,,,237.32
50,Medium,0.04,7,240.88,238.20981,163,240.88,5.35289,181.0,4.02222,17.88,0.39733,0.24476,-0.18944,-0.09429,,,,,,,,,,,240.88
50,Medium,0.06,3,224.92,222.5783,159,224.92,4.99822,217.0,4.82222,7.92,0.176,0.1131,-0.30952,-0.15153,,,,,,,,,,,224.92
50,Medium,0.06,4,231.84,229.45919,135,231.84,5.152,200.0,4.44444,13.84,0.30756,0.28476,-0.24675,-0.1316,,,,,,,,,,,231.84
50,Medium,0.06,5,240.84,237.95389,158,240.84,5.352,170.0,3.77778,12.84,0.28533,0.28476,-0.23292,-0.10265,,,,,,,,,,,240.84
50,Medium,0.06,6,245.16,242.33015,136,245.16,5.448,165.0,3.66667,13.16,0.29244,0.49451,-0.18944,-0.09711,,,,,,,,,,,245.16
50,Medium,0.06,7,250.28,246.89126,135,250.28,5.56178,164.0,3.64444,20.28,0.45067,0.49451,-0.18944,-0.08675,,,,,,,,,,,250.28
50,Medium,0.08,3,227.56,226.18657,116,227.56,5.05689,216.0,4.8,14.56,0.32356,0.05404,-0.24675,-0.15717,,,,,,,,,,,227.56
50,Medium,0.08,4,236.64,233.95102,154,236.64,5.25867,179.0,3.97778,12.64,0.28089,0.49451,-0.29221,-0.10573,,,,,,,,,,,236.64
50,Medium,0.08,5,245.08,243.40259,135,245.08,5.44622,169.0,3.75556,14.08,0.31289,0.28476,-0.24675,-0.11264,,,,,,,,,,,245.08
50,Medium,0.08,6,250.08,248.23623,111,250.08,5.55733,155.0,3.44444,18.08,0.40178,0.24476,-0.18944,-0.10377,,,,,,,,,,,250.08
50,Medium,0.08,7,256.36,253.44784,141,256.36,5.69689,143.0,3.17778,15.36,0.34133,0.49451,-0.17857,-0.06693,,,,,,,,,,,256.36
50,Medium,0.1,3,232.0,229.66129,132,232.0,5.15556,215.0,4.77778,15.0,0.33333,0.1131,-0.30952,-0.1497,,,,,,,,,,,232.0
50,Medium,0.1,4,239.4,237.14913,130,239.4,5.32,175.0,3.88889,12.4,0.27556,0.28476,-0.23292,-0.09604,,,,,,,,,,,239.4
50,Medium,0.1,5,249.8,247.32425,111,249.8,5.55111,146.0,3.24444,9.8,0.21778,0.24476,-0.18944,-0.09468,,,,,,,,,,,249.8
50,Medium,0.1,6,255.6,252.88536,121,255.6,5.68,131.0,2.91111,10.6,0.23556,0.24476,-0.18944,-0.07891,,,,,,,,,,,255.6
50,Medium,0.1,7,258.8,256.84252,129,258.8,5.75111,131.0,2.91111,13.8,0.30667,0.24476,-0.18944,-0.07221,,,,,,,,,,,258.8
