I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm,undercover_norm_n,cons_norm_n,understaffing_norm_n,perf_norm_n
150,0,3,7.40667,7.40667,7.40667,0,7.46,6.43729,7.46,0.0
150,0,4,7.17333,6.82667,7.17333,0,7.46,6.43729,7.46,0.0
150,0,5,7.44667,7.44667,7.44667,0,7.46,6.43729,7.46,0.0
150,0,6,7.18,7.34,7.18,0,7.46,6.43729,7.46,0.0
150,0,7,7.22667,7.48,7.22667,0,7.46,6.43729,7.46,0.0
150,0.02,3,7.54413,4.26,7.51333,0.0308,7.93088,6.82521,7.46,0.47088
150,0.02,4,7.59853,3.96667,7.54667,0.05187,8.14851,6.82521,7.46,0.68851
150,0.02,5,7.64213,3.92,7.57333,0.0688,8.34626,6.82521,7.46,0.88626
150,0.02,6,7.68333,3.74667,7.56667,0.11667,8.48058,6.82521,7.46,1.02058
150,0.02,7,7.69013,3.60667,7.54667,0.14347,8.57321,6.82521,7.46,1.11321
150,0.04,3,7.59867,4.20667,7.53333,0.06533,8.32911,6.64198,7.46,0.86911
150,0.04,4,7.6352,3.76,7.56667,0.06853,8.60565,6.64198,7.46,1.14565
150,0.04,5,7.71253,3.58667,7.60667,0.10587,9.00719,6.64198,7.46,1.54719
150,0.04,6,7.79813,3.36,7.64,0.15813,9.19993,6.64198,7.46,1.73993
150,0.04,7,7.8576,3.23333,7.59333,0.26427,9.3273,6.64198,7.46,1.8673
150,0.06,3,7.6152,3.94667,7.55333,0.06187,9.08533,6.98898,7.46,1.62533
150,0.06,4,7.66813,3.61333,7.58,0.08813,9.7156,6.98898,7.46,2.2556
150,0.06,5,7.77853,3.26667,7.63333,0.1452,10.2696,6.98898,7.46,2.8096
150,0.06,6,7.8828,2.75333,7.68667,0.19613,10.63686,6.98898,7.46,3.17686
150,0.06,7,7.97267,2.81333,7.72667,0.246,10.95859,6.98898,7.46,3.49859
150,0.08,3,7.6704,3.83333,7.61333,0.05707,9.07203,6.47584,7.46,1.61203
150,0.08,4,7.67627,3.45333,7.6,0.07627,9.66611,6.47584,7.46,2.20611
150,0.08,5,7.79253,3.32667,7.61333,0.1792,10.29373,6.47584,7.46,2.83373
150,0.08,6,7.89227,2.63333,7.78,0.11227,11.10488,6.47584,7.46,3.64488
150,0.08,7,8.056,2.70667,7.83333,0.22267,11.67261,6.47584,7.46,4.21261
150,0.1,3,7.66467,3.73333,7.61333,0.05133,9.78704,6.6532,7.46,2.32704
150,0.1,4,7.696,3.42,7.60667,0.08933,10.92224,6.6532,7.46,3.46224
150,0.1,5,7.86067,3.18667,7.72667,0.134,11.77727,6.6532,7.46,4.31727
150,0.1,6,7.94867,2.56,7.70667,0.242,12.31139,6.6532,7.46,4.85139
150,0.1,7,8.09867,2.64,7.86,0.23867,12.75079,6.6532,7.46,5.29079
