I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm,undercover_norm_n,cons_norm_n,understaffing_norm_n,perf_norm_n
50,0,3,8.70909,6.52727,8.70909,0,8.69091,5.91341,8.69091,0.0
50,0,4,8.69091,6.18182,8.69091,0,8.69091,5.91341,8.69091,0.0
50,0,5,8.69091,6.01818,8.69091,0,8.69091,5.91341,8.69091,0.0
50,0,6,8.67273,5.69091,8.67273,0,8.69091,5.91341,8.69091,0.0
50,0,7,8.70909,5.65455,8.70909,0,8.69091,5.91341,8.69091,0.0
50,0.02,3,8.72109,2.61818,8.70909,0.012,9.01759,5.99352,8.67273,0.34486
50,0.02,4,8.72327,2.58182,8.69091,0.03236,9.26268,5.99352,8.67273,0.58995
50,0.02,5,8.8,2.36364,8.76364,0.03636,9.43937,5.99352,8.67273,0.76664
50,0.02,6,8.81818,2.23636,8.74545,0.07273,9.56256,5.99352,8.67273,0.88983
50,0.02,7,8.77491,2.2,8.69091,0.084,9.60746,5.99352,8.67273,0.93473
50,0.04,3,8.78255,3.10909,8.76364,0.01891,9.54252,5.64428,8.67273,0.8698
50,0.04,4,8.80873,2.58182,8.74545,0.06327,10.15186,5.64428,8.67273,1.47913
50,0.04,5,8.832,2.41818,8.76364,0.06836,10.39088,5.64428,8.67273,1.71815
50,0.04,6,8.82072,2.29091,8.67273,0.14799,10.52089,5.64428,8.67273,1.84816
50,0.04,7,8.912,2.21818,8.78182,0.13018,10.59819,5.64428,8.67273,1.92547
50,0.06,3,8.744,2.94545,8.70909,0.03491,10.02018,5.46139,8.67273,1.34746
50,0.06,4,8.83964,2.47273,8.78182,0.05782,10.52343,5.46139,8.67273,1.8507
50,0.06,5,8.86982,2.27273,8.8,0.06982,10.79903,5.46139,8.67273,2.1263
50,0.06,6,8.88218,2.12727,8.78182,0.10036,11.05138,5.46139,8.67273,2.37866
50,0.06,7,8.992,2.01818,8.85455,0.13745,11.12385,5.20468,8.67273,2.45112
50,0.08,3,8.74576,2.90909,8.69091,0.05485,10.22785,5.83024,8.67273,1.55513
50,0.08,4,8.85382,2.54545,8.78182,0.072,11.35511,5.83024,8.67273,2.68238
50,0.08,5,8.84582,2.21818,8.78182,0.064,11.80775,5.83024,8.67273,3.13502
50,0.08,6,8.93164,2.09091,8.81818,0.11345,11.95287,5.83024,8.67273,3.28014
50,0.08,7,9.01818,2.01818,8.87273,0.14545,12.12527,5.83024,8.67273,3.45254
50,0.1,3,8.80182,3.05455,8.76364,0.03818,10.56646,5.56202,8.67273,1.89374
50,0.1,4,8.83455,2.36364,8.78182,0.05273,11.41935,5.56202,8.67273,2.74662
50,0.1,5,8.90545,2.23636,8.83636,0.06909,12.12218,5.56202,8.67273,3.44945
50,0.1,6,8.88909,1.96364,8.8,0.08909,12.71203,5.56202,8.67273,4.0393
50,0.1,7,8.99091,1.98182,8.87273,0.11818,13.02103,5.56202,8.67273,4.3483
