I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm,undercover_norm_n,cons_norm_n,understaffing_norm_n,perf_norm_n
50,0,3,4.71111,8.2,4.71111,0,4.68889,8.24334,4.68889,0.0
50,0,4,4.73333,8.28889,4.73333,0,4.68889,8.24334,4.68889,0.0
50,0,5,4.73333,8.57778,4.73333,0,4.68889,8.24334,4.68889,0.0
50,0,6,4.71111,8.17778,4.71111,0,4.68889,8.24334,4.68889,0.0
50,0,7,4.66667,8.2,4.66667,0,4.68889,8.24334,4.68889,0.0
50,0.02,3,4.80311,4.97778,4.71111,0.092,5.32177,7.83388,4.71111,0.61066
50,0.02,4,4.84444,4.62222,4.68889,0.15556,5.71299,7.83388,4.71111,1.00188
50,0.02,5,4.96889,4.53333,4.73333,0.23556,5.87836,7.83388,4.71111,1.16725
50,0.02,6,5.016,4.42222,4.75556,0.26044,6.00722,7.83388,4.71111,1.29611
50,0.02,7,5.09156,4.4,4.84444,0.24711,6.0395,7.83388,4.71111,1.32839
50,0.04,3,4.89067,4.86667,4.75556,0.13511,6.01957,8.12431,4.71111,1.30846
50,0.04,4,5.01333,4.51111,4.77778,0.23556,6.73368,8.12431,4.71111,2.02257
50,0.04,5,5.17867,4.44444,4.86667,0.312,7.08183,8.12431,4.71111,2.37072
50,0.04,6,5.27378,3.95556,5.0,0.27378,7.34215,8.12431,4.71111,2.63104
50,0.04,7,5.35289,4.02222,4.95556,0.39733,7.45882,8.12431,4.71111,2.74771
50,0.06,3,4.99822,4.82222,4.82222,0.176,6.90336,8.24774,4.68889,2.21447
50,0.06,4,5.152,4.44444,4.84444,0.30756,7.73057,8.24774,4.68889,3.04168
50,0.06,5,5.352,3.77778,5.06667,0.28533,8.21149,8.24774,4.68889,3.5226
50,0.06,6,5.448,3.66667,5.15556,0.29244,8.58035,8.24774,4.68889,3.89146
50,0.06,7,5.56178,3.64444,5.11111,0.45067,8.81119,8.24774,4.68889,4.1223
50,0.08,3,5.05689,4.8,4.73333,0.32356,6.88887,7.5714,4.71111,2.17776
50,0.08,4,5.25867,3.97778,4.97778,0.28089,7.88589,7.5714,4.71111,3.17478
50,0.08,5,5.44622,3.75556,5.13333,0.31289,8.74543,7.5714,4.71111,4.03432
50,0.08,6,5.55733,3.44444,5.15556,0.40178,9.23519,7.5714,4.71111,4.52407
50,0.08,7,5.69689,3.17778,5.35556,0.34133,9.54121,7.5714,4.71111,4.8301
50,0.1,3,5.15556,4.77778,4.82222,0.33333,7.05565,7.10193,4.69333,2.36232
50,0.1,4,5.32,3.88889,5.04444,0.27556,8.43246,7.10193,4.69333,3.73913
50,0.1,5,5.55111,3.24444,5.33333,0.21778,9.40498,7.10193,4.69333,4.71164
50,0.1,6,5.68,2.91111,5.44444,0.23556,10.29696,7.10193,4.69333,5.60362
50,0.1,7,5.75111,2.91111,5.44444,0.30667,10.70696,7.10193,4.69333,6.01362
