I,pattern,epsilon,chi,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n
100,High,0,3,1179.0,10.718181818181819,653.990096424756,5.945364512952327,0.0,0.0,0.29752,-0.48413,-0.09495,1179.0
100,High,0,4,1179.0,10.718181818181819,653.990096424756,5.945364512952327,0.0,0.0,0.29752,-0.48413,-0.09495,1179.0
100,High,0,5,1179.0,10.718181818181819,653.990096424756,5.945364512952327,0.0,0.0,0.29752,-0.48413,-0.09495,1179.0
100,High,0,6,1179.0,10.718181818181819,653.990096424756,5.945364512952327,0.0,0.0,0.29752,-0.48413,-0.09495,1179.0
100,High,0,7,1179.0,10.718181818181819,653.990096424756,5.945364512952327,0.0,0.0,0.29752,-0.48413,-0.09495,1179.0
100,High,0,8,1179.0,10.718181818181819,653.990096424756,5.945364512952327,0.0,0.0,0.29752,-0.48413,-0.09495,1179.0
100,High,0.01,3,1195.7504946887018,10.87045904262456,653.990096424756,5.945364512952327,16.75049468870173,0.15227722444274297,0.29752,-0.48413,-0.09495,1179.0
100,High,0.01,4,1207.1035639956324,10.973668763596658,653.990096424756,5.945364512952327,28.10356399563244,0.25548694541484035,0.29752,-0.48413,-0.09495,1179.0
100,High,0.01,5,1212.778415480781,11.025258322552553,653.990096424756,5.945364512952327,33.77841548078093,0.3070765043707357,0.29752,-0.48413,-0.09495,1179.0
100,High,0.01,6,1216.217029342167,11.056518448565155,653.990096424756,5.945364512952327,37.217029342167095,0.33833663038333717,0.29752,-0.48413,-0.09495,1179.0
100,High,0.01,7,1218.478019441177,11.077072904010697,653.990096424756,5.945364512952327,39.47801944117697,0.35889108582888146,0.29752,-0.48413,-0.09495,1179.0
100,High,0.01,8,1224.4297026094937,11.13117911463176,653.990096424756,5.945364512952327,45.42970260949378,0.4129972964499434,0.29752,-0.48413,-0.09495,1179.0
100,High,0.02,3,1212.5009893774034,11.022736267067303,653.990096424756,5.945364512952327,33.50098937740346,0.30455444888548594,0.29752,-0.48413,-0.09495,1179.0
100,High,0.02,4,1235.2071279912648,11.229155709011499,653.990096424756,5.945364512952327,56.20712799126488,0.5109738908296807,0.29752,-0.48413,-0.09495,1179.0
100,High,0.02,5,1246.556830961562,11.332334826923288,653.990096424756,5.945364512952327,67.55683096156186,0.6141530087414714,0.29752,-0.48413,-0.09495,1179.0
