I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm
150,0,3,7.46,7.071551155115512,7.46,0.0
150,0,4,7.46,7.071551155115512,7.46,0.0
150,0,5,7.46,7.071551155115512,7.46,0.0
150,0,6,7.46,7.071551155115512,7.46,0.0
150,0,7,7.46,7.071551155115512,7.46,0.0
150,0,8,7.46,7.071551155115512,7.46,0.0
150,0.01,3,7.799035643564357,7.071551155115512,7.46,0.33903564356435667
150,0.01,4,7.90775709570957,7.071551155115512,7.46,0.4477570957095707
150,0.01,5,7.989598679867986,7.071551155115512,7.46,0.5295986798679865
150,0.01,6,8.063708910891089,7.071551155115512,7.46,0.6037089108910896
150,0.01,7,8.119674587458746,7.071551155115512,7.46,0.6596745874587466
150,0.01,8,8.158210561056107,7.071551155115512,7.46,0.6982105610561061
150,0.02,3,8.138071287128714,7.071551155115512,7.46,0.6780712871287133
150,0.02,4,8.355514191419141,7.071551155115512,7.46,0.8955141914191413
150,0.02,5,8.519197359735973,7.071551155115512,7.46,1.059197359735973
150,0.02,6,8.667417821782179,7.071551155115512,7.46,1.2074178217821792
150,0.02,7,8.779349174917494,7.071551155115512,7.46,1.3193491749174933
150,0.02,8,8.856421122112211,7.071551155115512,7.46,1.3964211221122123
150,0.03,3,8.47710693069307,7.071551155115512,7.46,1.0171069306930698
150,0.03,4,8.803271287128712,7.071551155115512,7.46,1.343271287128713
150,0.03,5,9.048796039603959,7.071551155115512,7.46,1.5887960396039587
150,0.03,6,9.271126732673267,7.071551155115512,7.46,1.8111267326732665
150,0.03,7,9.439023762376237,7.071551155115512,7.46,1.9790237623762374
150,0.03,8,9.554631683168317,7.071551155115512,7.46,2.0946316831683167
150,0.04,3,8.816142574257427,7.071551155115512,7.46,1.3561425742574267
150,0.04,4,9.251028382838284,7.071551155115512,7.46,1.7910283828382827
150,0.04,5,9.578394719471946,7.071551155115512,7.46,2.118394719471946
150,0.04,6,9.874835643564358,7.071551155115512,7.46,2.4148356435643583
150,0.04,7,10.098698349834986,7.071551155115512,7.46,2.6386983498349865
150,0.04,8,10.252842244224425,7.071551155115512,7.46,2.7928422442244245
150,0.05,3,9.155178217821783,7.071551155115512,7.46,1.6951782178217834
150,0.05,4,9.698785478547856,7.071551155115512,7.46,2.2387854785478565
150,0.05,5,10.10799339933993,7.071551155115512,7.46,2.647993399339931
150,0.05,6,10.478544554455445,7.071551155115512,7.46,3.018544554455444
150,0.05,7,10.758372937293727,7.071551155115512,7.46,3.2983729372937267
150,0.05,8,10.951052805280527,7.071551155115512,7.46,3.4910528052805265
150,0.06,3,9.49421386138614,7.071551155115512,7.46,2.0342138613861396
150,0.06,4,10.146542574257426,7.071551155115512,7.46,2.686542574257426
150,0.06,5,10.637592079207918,7.071551155115512,7.46,3.1775920792079173
150,0.06,6,11.082253465346533,7.071551155115512,7.46,3.622253465346533
150,0.06,7,11.418047524752476,7.071551155115512,7.46,3.958047524752475
150,0.06,8,11.649263366336633,7.071551155115512,7.46,4.189263366336633
150,0.07,3,9.833249504950498,7.071551155115512,7.46,2.373249504950497
150,0.07,4,10.594299669967,7.071551155115512,7.46,3.134299669966999
150,0.07,5,11.167190759075906,7.071551155115512,7.46,3.7071907590759063
150,0.07,6,11.685962376237624,7.071551155115512,7.46,4.225962376237625
150,0.07,7,12.077722112211225,7.071551155115512,7.46,4.617722112211224
150,0.07,8,12.347473927392738,7.071551155115512,7.46,4.887473927392738
150,0.08,3,10.172285148514852,7.071551155115512,7.46,2.7122851485148534
150,0.08,4,11.042056765676566,7.071551155115512,7.46,3.5820567656765654
150,0.08,5,11.696789438943892,7.071551155115512,7.46,4.236789438943892
150,0.08,6,12.289671287128716,7.071551155115512,7.46,4.829671287128717
150,0.08,7,12.737396699669972,7.071551155115512,7.46,5.277396699669973
150,0.08,8,13.045684488448849,7.071551155115512,7.46,5.585684488448849
150,0.09,3,10.511320792079212,7.071551155115512,7.46,3.051320792079211
150,0.09,4,11.489813861386137,7.071551155115512,7.46,4.029813861386139
150,0.09,5,12.226388118811881,7.071551155115512,7.46,4.76638811881188
150,0.09,6,12.8933801980198,7.071551155115512,7.46,5.433380198019802
150,0.09,7,13.397071287128712,7.071551155115512,7.46,5.937071287128712
150,0.09,8,13.743895049504948,7.071551155115512,7.46,6.283895049504946
150,0.1,3,10.850356435643567,7.071551155115512,7.46,3.3903564356435667
150,0.1,4,11.937570957095712,7.071551155115512,7.46,4.477570957095713
150,0.1,5,12.75598679867986,7.071551155115512,7.46,5.295986798679862
150,0.1,6,13.497089108910888,7.071551155115512,7.46,6.037089108910888
150,0.1,7,14.056745874587453,7.071551155115512,7.46,6.596745874587453
150,0.1,8,14.442105610561054,7.071551155115512,7.46,6.982105610561053
