I,prob,lb,ub,gap,time,lb_cg,ub_cg,gap_cg,time_cg,iter,time_rmp,time_sp,time_ip
25,Low,0.0,629.2,1.0,3.0,224.809,225.9,0.485,194.685,82,1.969,191.417,0.201
25,Medium,0.0,616.0,1.0,3.0,203.936,204.6,0.326,298.183,118,2.817,293.635,0.162
25,High,2.0,633.0,1.0,3.01,237.809,238.3,0.206,203.295,74,1.696,200.576,0.026
50,Low,343.7,1326.0,0.74,3.01,447.768,448.8,0.23,336.206,120,2.858,330.83,0.843
50,Medium,0.0,1281.8,1.0,3.01,458.178,458.8,0.136,186.49,89,2.121,182.964,0.171
50,High,323.1,1286.0,0.75,3.01,433.366,433.7,0.077,146.267,84,2.342,142.408,0.073
100,Low,6.0,2618.1,1.0,3.02,957.298,958.0,0.073,234.517,88,2.309,229.183,1.542
100,Medium,6.0,2647.6,1.0,3.02,833.348,833.8,0.054,146.071,83,1.958,142.422,0.515
100,High,8.0,2474.0,1.0,3.02,922.567,923.7,0.123,244.272,103,2.434,239.535,0.989
150,Low,14.0,3753.5,1.0,3.02,1358.616,1359.5,0.065,527.762,103,2.612,493.165,30.531
150,Medium,2.0,3817.6,1.0,3.02,1350.479,1351.8,0.098,147.019,115,2.709,141.367,1.51
150,High,0.0,3850.0,1.0,3.02,1392.866,1393.2,0.024,398.86,96,2.402,394.836,0.122
