I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrange
50,Medium,0,3,348.0,347.0,34,348.0,6.96,342.0,6.84,0.0,0.0,0.28476,-0.48413,-0.19357,347.0
50,Medium,0,4,347.0,347.0,42,347.0,6.94,378.00002,7.56,44.0,0.88,0.03634,-0.38413,-0.18875,347.0
50,Medium,0,5,347.0,347.0,50,347.0,6.94,347.0,6.94,0.0,0.0,0.13203,-0.45489,-0.17708,347.0
50,Medium,0,6,347.0,347.0,34,347.0,6.94,368.0,7.36,0.0,0.0,0.22294,-0.45489,-0.18554,347.0
50,Medium,0,7,347.0,347.0,43,347.0,6.94,304.0,6.08,0.0,0.0,0.08897,-0.37857,-0.17843,347.0
50,Medium,0,8,347.0,347.0,34,347.0,6.94,315.0,6.3,0.0,0.0,0.29752,-0.42857,-0.18288,347.0
50,Medium,0.01,3,347.78,347.71703,150,347.78,6.9556,184.0,3.68,0.78,0.0156,0.05404,-0.24675,-0.13457,347.717
50,Medium,0.01,4,348.48,348.36112,159,348.48,6.9696,173.0,3.46,1.48,0.0296,0.15476,-0.23292,-0.11219,348.361
50,Medium,0.01,5,349.49,349.28048,146,349.49,6.9898,156.0,3.12,2.49,0.0498,0.24476,-0.24675,-0.07868,349.28
50,Medium,0.01,6,350.03,349.79981,176,350.03,7.0006,150.0,3.0,3.03,0.0606,0.40476,-0.24675,-0.08305,349.8
50,Medium,0.01,7,351.03,350.71158,183,351.03,7.0206,148.0,2.96,4.03,0.0806,0.24476,-0.24675,-0.07263,350.712
50,Medium,0.01,8,352.13,351.80517,157,352.13,7.0426,159.0,3.18,5.13,0.1026,0.40476,-0.24675,-0.0728,351.805
50,Medium,0.02,3,348.52,348.428,128,348.52,6.9704,185.0,3.7,5.52,0.1104,0.15476,-0.24675,-0.13779,348.428
50,Medium,0.02,4,349.96,349.72303,143,349.96,6.9992,170.0,3.4,5.96,0.1192,-0.03968,-0.23292,-0.12665,349.723
50,Medium,0.02,5,351.94,351.54331,188,351.94,7.0388,158.0,3.16,4.94,0.0988,0.24476,-0.23292,-0.09104,351.543
50,Medium,0.02,6,353.06,352.54663,156,353.06,7.0612,148.0,2.96,6.06,0.1212,0.40476,-0.23292,-0.06783,352.547
50,Medium,0.02,7,355.02,354.39199,175,355.02,7.1004,149.0,2.98,8.02,0.1604,0.24476,-0.18944,-0.0816,354.392
50,Medium,0.02,8,357.2,356.50851,162,357.2,7.144,157.0,3.14,11.2,0.224,0.24476,-0.23292,-0.0918,356.508
50,Medium,0.03,3,349.28,349.13276,130,349.28,6.9856,176.0,3.52,2.28,0.0456,-0.03968,-0.24675,-0.13756,349.133
50,Medium,0.03,4,351.44,351.08364,161,351.44,7.0288,163.0,3.26,4.44,0.0888,0.24476,-0.23292,-0.09888,351.084
50,Medium,0.03,5,354.38,353.78311,138,354.38,7.0876,157.0,3.14,7.38,0.1476,0.15476,-0.18944,-0.09885,353.783
50,Medium,0.03,6,356.12,355.23906,139,356.12,7.1224,151.0,3.02,9.12,0.1824,0.24476,-0.24675,-0.098,355.239
50,Medium,0.03,7,359.06,358.02357,146,359.06,7.1812,146.0,2.92,12.06,0.2412,0.24476,-0.18944,-0.06844,358.024
50,Medium,0.03,8,362.48,361.1061,152,362.48,7.2496,161.0,3.22,14.48,0.2896,0.24476,-0.18944,-0.0972,361.106
50,Medium,0.04,3,350.04,349.83116,115,350.04,7.0008,184.0,3.68,3.04,0.0608,0.24476,-0.30952,-0.11529,349.831
50,Medium,0.04,4,352.92,352.43166,143,352.92,7.0584,166.0,3.32,5.92,0.1184,0.40476,-0.23292,-0.0823,352.432
50,Medium,0.04,5,356.84,356.00023,149,356.84,7.1368,156.0,3.12,9.84,0.1968,0.24476,-0.17857,-0.08202,356.0
50,Medium,0.04,6,359.12,357.87944,126,359.12,7.1824,145.0,2.9,11.12,0.2224,0.1131,-0.23292,-0.09401,357.879
50,Medium,0.04,7,362.76,361.38975,135,362.76,7.2552,142.0,2.84,12.76,0.2552,0.28476,-0.17857,-0.06285,361.39
50,Medium,0.04,8,367.12,365.53097,127,367.12,7.3424,146.0,2.92,16.12,0.3224,0.24476,-0.18944,-0.07851,365.531
50,Medium,0.05,3,350.8,350.52303,120,350.8,7.016,186.0,3.72,3.8,0.076,-0.03968,-0.30952,-0.14267,350.523
50,Medium,0.05,4,354.4,353.73417,171,354.4,7.088,162.0,3.24,7.4,0.148,0.28476,-0.18944,-0.09016,353.734
50,Medium,0.05,5,359.2,358.14928,113,359.2,7.184,153.0,3.06,10.2,0.204,0.15476,-0.17857,-0.09182,358.149
50,Medium,0.05,6,361.6,360.46048,134,361.6,7.232,150.0,3.0,10.6,0.212,0.1131,-0.17857,-0.08553,360.46
50,Medium,0.05,7,365.8,364.48076,123,365.8,7.316,139.0,2.78,13.8,0.276,0.24476,-0.17857,-0.06245,364.481
50,Medium,0.05,8,371.15,369.31154,145,371.15,7.423,135.0,2.7,18.15,0.363,0.40476,-0.17857,-0.07603,369.312
