epsilon,chi,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n
0,2,896.0,8.96,765.0,7.65,39.0,0.39,896.0,8.96,768.3876,7.68388,0.0,0.0
0,4,896.0,8.96,735.0,7.35,0.0,0.0,896.0,8.96,732.57143,7.32571,0.0,0.0
0,6,896.0,8.96,769.0,7.69,0.0,0.0,896.0,8.96,769.8,7.698,0.0,0.0
0,8,896.0,8.96,726.0,7.26,8.0,0.08,896.0,8.96,731.94118,7.31941,0.0,0.0
0.02,2,897.75998,8.9776,557.00001,5.57,18.75998,0.1876,920.78527,9.20785,768.3876,7.68388,24.78527,0.24785
0.02,4,903.78,9.0378,394.0,3.94,7.78,0.0778,982.58714,9.82587,732.57143,7.32571,86.58714,0.86587
0.02,6,909.12,9.0912,360.0,3.6,13.12,0.1312,1012.192,10.12192,769.8,7.698,116.192,1.16192
0.02,8,919.22,9.1922,365.0,3.65,22.22,0.2222,1020.32235,10.20322,731.94118,7.31941,124.32235,1.24322
0.04,2,899.56,8.9956,624.0,6.24,3.56,0.0356,945.57054,9.45571,768.3876,7.68388,49.57054,0.49571
0.04,4,911.44,9.1144,389.0,3.89,15.44,0.1544,1069.17429,10.69174,732.57143,7.32571,173.17429,1.73174
0.04,6,922.2,9.222,359.0,3.59,23.2,0.232,1128.384,11.28384,769.8,7.698,232.384,2.32384
0.04,8,940.88,9.4088,358.0,3.58,36.88,0.3688,1144.64471,11.44645,731.94118,7.31941,248.64471,2.48645
0.06,2,901.26,9.0126,572.0,5.72,4.26,0.0426,970.35581,9.70356,768.3876,7.68388,74.35581,0.74356
0.06,4,918.72,9.1872,385.0,3.85,19.72,0.1972,1155.76143,11.55761,732.57143,7.32571,259.76143,2.59761
0.06,6,934.18,9.3418,347.0,3.47,27.18,0.2718,1244.576,12.44576,769.8,7.698,348.576,3.48576
0.06,8,958.02,9.5802,319.0,3.19,40.02,0.4002,1268.96706,12.68967,731.94118,7.31941,372.96706,3.72967
0.08,2,902.72,9.0272,546.0,5.46,4.72,0.0472,995.14108,9.95141,768.3876,7.68388,99.14108,0.99141
0.08,4,925.56,9.2556,388.0,3.88,22.56,0.2256,1242.34857,12.42349,732.57143,7.32571,346.34857,3.46349
0.08,6,944.44,9.4444,338.0,3.38,37.44,0.3744,1360.768,13.60768,769.8,7.698,464.768,4.64768
0.08,8,973.6,9.736,317.0,3.17,49.6,0.496,1393.28941,13.93289,731.94118,7.31941,497.28941,4.97289
0.1,2,904.3,9.043,515.00001,5.15,55.3,0.553,1019.92636,10.19926,768.3876,7.68388,123.92636,1.23926
0.1,4,931.8,9.318,380.0,3.8,25.8,0.258,1328.93571,13.28936,732.57143,7.32571,432.93571,4.32936
0.1,6,952.2,9.522,292.0,2.92,30.2,0.302,1476.96,14.7696,769.8,7.698,580.96,5.8096
0.1,8,987.5,9.875,290.0,2.9,51.5,0.515,1517.61176,15.17612,731.94118,7.31941,621.61176,6.21612
