I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrange,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n
100,Medium,0.07,2,901.97,901.81637,89,901.97,9.0197,550.0,5.5,4.97,0.0497,0.01056,-0.37857,-0.20757,901.816,955.45333,9.55453,719.07407,7.19074,59.45333,0.59453,0.15476,-0.37857,-0.11454,896.0
100,Medium,0.07,3,910.02,909.84938,101,910.02,9.1002,413.0,4.13,11.02,0.1102,0.15476,-0.24675,-0.09315,909.849,1107.60808,11.07608,748.72603,7.48726,211.60808,2.11608,0.07143,-0.50752,-0.23142,896.0
100,Medium,0.07,4,922.17,921.77922,133,922.17,9.2217,392.0,3.92,21.17,0.2117,0.45604,-0.18944,-0.0179,921.779,1147.202,11.47202,720.2,7.202,251.202,2.51202,0.17749,-0.39381,-0.19721,896.0
100,Medium,0.07,5,931.12,930.34742,111,931.12,9.3112,347.0,3.47,32.12,0.3212,0.6581,-0.24675,-0.01431,930.347,1243.054,12.43054,761.28571,7.61286,347.054,3.47054,0.03634,-0.45489,-0.21641,896.0
100,Medium,0.07,6,939.47,938.43721,129,939.47,9.3947,337.0,3.37,48.47,0.4847,0.45604,-0.17857,-0.02496,938.437,1251.49967,12.515,752.64444,7.52644,355.49967,3.555,0.07143,-0.48413,-0.23107,896.0
100,Medium,0.07,7,948.15,947.45258,112,948.15,9.4815,331.0,3.31,38.15,0.3815,0.45604,-0.18944,-0.00845,947.453,1237.22667,12.37227,712.2,7.122,341.22667,3.41227,0.09643,-0.42857,-0.14624,896.0
100,Medium,0.07,8,965.93,964.49157,117,965.93,9.6593,318.0,3.18,45.93,0.4593,0.45604,-0.18944,-0.02997,964.492,1330.47091,13.30471,786.72727,7.86727,434.47091,4.34471,0.03634,-0.42857,-0.18797,896.0
100,Medium,0.07,9,973.0,971.83239,100,973.0,9.73,310.0,3.1,51.0,0.51,0.45604,-0.18944,-0.0206,971.832,1301.79831,13.01798,711.0396,7.1104,405.79831,4.05798,0.13203,-0.42857,-0.20119,896.0
100,Medium,0.07,10,979.33,978.30741,95,979.33,9.7933,277.0,2.77,42.33,0.4233,0.28476,-0.18944,-0.04472,978.307,1301.58,13.0158,712.42857,7.12429,405.58,4.0558,0.07143,-0.45489,-0.16642,896.0
100,Medium,0.08,2,902.72,902.59005,71,902.72,9.0272,515.0,5.15,4.72,0.0472,0.24476,-0.37857,-0.17542,902.59,963.94667,9.63947,719.07407,7.19074,67.94667,0.67947,0.15476,-0.37857,-0.11454,896.0
100,Medium,0.08,3,912.0,911.69704,122,912.0,9.12,421.0,4.21,13.0,0.13,0.1131,-0.29221,-0.12414,911.697,1137.83781,11.37838,748.72603,7.48726,241.83781,2.41838,0.07143,-0.50752,-0.23142,896.0
100,Medium,0.08,4,925.64,924.97305,125,925.64,9.2564,374.0,3.74,22.64,0.2264,0.45604,-0.18944,-0.04485,924.973,1183.088,11.83088,720.2,7.202,287.088,2.87088,0.17749,-0.39381,-0.19721,896.0
100,Medium,0.08,5,935.36,934.33802,122,935.36,9.3536,339.0,3.39,28.36,0.2836,0.45604,-0.18944,-0.01768,934.338,1292.63314,12.92633,761.28571,7.61286,396.63314,3.96633,0.03634,-0.45489,-0.21641,896.0
100,Medium,0.08,6,944.4,943.50578,129,944.4,9.444,335.0,3.35,31.4,0.314,0.45604,-0.18944,0.00208,943.506,1302.28533,13.02285,752.64444,7.52644,406.28533,4.06285,0.07143,-0.48413,-0.23107,896.0
100,Medium,0.08,7,953.64,952.72302,119,953.64,9.5364,326.0,3.26,35.64,0.3564,0.29752,-0.18944,-0.04961,952.723,1285.97333,12.85973,712.2,7.122,389.97333,3.89973,0.09643,-0.42857,-0.14624,896.0
100,Medium,0.08,8,973.44,972.39497,102,973.44,9.7344,317.0,3.17,49.44,0.4944,0.45604,-0.18944,-0.00794,972.395,1392.53818,13.92538,786.72727,7.86727,496.53818,4.96538,0.03634,-0.42857,-0.18797,896.0
100,Medium,0.08,9,980.92,979.80009,106,980.92,9.8092,308.0,3.08,55.92,0.5592,0.28476,-0.18944,-0.04094,979.8,1359.7695,13.59769,711.0396,7.1104,463.7695,4.63769,0.13203,-0.42857,-0.20119,896.0
100,Medium,0.08,10,986.56,985.52734,100,986.56,9.8656,278.0,2.78,45.56,0.4556,0.45604,-0.1369,-0.04853,985.527,1359.52,13.5952,712.42857,7.12429,463.52,4.6352,0.07143,-0.45489,-0.16642,896.0
100,Medium,0.09,2,903.47,903.34908,81,903.47,9.0347,524.0,5.24,5.47,0.0547,-0.03463,-0.45489,-0.19829,903.349,972.44,9.7244,719.07407,7.19074,76.44,0.7644,0.15476,-0.37857,-0.11454,896.0
100,Medium,0.09,3,914.1,913.51092,93,914.1,9.141,436.00002,4.36,52.1,0.521,0.1131,-0.30952,-0.13793,913.511,1168.06753,11.68068,748.72603,7.48726,272.06753,2.72068,0.07143,-0.50752,-0.23142,896.0
100,Medium,0.09,4,928.88,928.12895,125,928.88,9.2888,372.0,3.72,25.88,0.2588,0.45604,-0.23292,-0.01941,928.129,1218.974,12.18974,720.2,7.202,322.974,3.22974,0.17749,-0.39381,-0.19721,896.0
100,Medium,0.09,5,939.03,938.0188,131,939.03,9.3903,334.0,3.34,31.03,0.3103,0.28476,-0.18944,-0.0595,938.019,1342.21229,13.42212,761.28571,7.61286,446.21229,4.46212,0.03634,-0.45489,-0.21641,896.0
100,Medium,0.09,6,949.06,948.19469,129,949.06,9.4906,320.0,3.2,38.06,0.3806,0.28476,-0.18944,-0.02334,948.195,1353.071,13.53071,752.64444,7.52644,457.071,4.57071,0.07143,-0.48413,-0.23107,896.0
100,Medium,0.09,7,958.68,957.84776,134,958.68,9.5868,317.0,3.17,36.68,0.3668,0.45604,-0.18944,-0.00536,957.848,1334.72,13.3472,712.2,7.122,438.72,4.3872,0.09643,-0.42857,-0.14624,896.0
100,Medium,0.09,8,981.16,979.83825,98,981.16,9.8116,300.0,3.0,52.16,0.5216,0.6581,-0.18944,-0.0342,979.838,1454.60545,14.54605,786.72727,7.86727,558.60545,5.58605,0.03634,-0.42857,-0.18797,896.0
100,Medium,0.09,9,988.34,986.92505,102,988.34,9.8834,285.0,2.85,53.34,0.5334,0.45604,-0.18944,-0.04423,986.925,1417.74068,14.17741,711.0396,7.1104,521.74068,5.21741,0.13203,-0.42857,-0.20119,896.0
100,Medium,0.09,10,993.81,992.74443,104,993.81,9.9381,277.0,2.77,51.81,0.5181,0.45604,-0.18944,-0.0114,992.744,1417.46,14.1746,712.42857,7.12429,521.46,5.2146,0.07143,-0.45489,-0.16642,896.0
100,Medium,0.1,2,904.3,904.09333,70,904.3,9.043,559.0,5.59,6.3,0.063,0.01056,-0.37857,-0.22359,904.093,980.93333,9.80933,719.07407,7.19074,84.93333,0.84933,0.15476,-0.37857,-0.11454,896.0
100,Medium,0.1,3,915.7,915.23275,92,915.7,9.157,413.0,4.13,14.7,0.147,0.15476,-0.29221,-0.12696,915.233,1198.29726,11.98297,748.72603,7.48726,302.29726,3.02297,0.07143,-0.50752,-0.23142,896.0
100,Medium,0.1,4,931.7,931.11259,112,931.7,9.317,355.0,3.55,21.7,0.217,0.38961,-0.18944,-0.05941,931.113,1254.86,12.5486,720.2,7.202,358.86,3.5886,0.17749,-0.39381,-0.19721,896.0
100,Medium,0.1,5,942.0,941.29611,104,942.0,9.42,321.0,3.21,25.0,0.25,0.45604,-0.18944,-0.07118,941.296,1391.79143,13.91791,761.28571,7.61286,495.79143,4.95791,0.03634,-0.45489,-0.21641,896.0
100,Medium,0.1,6,952.29999,951.51717,137,952.29999,9.523,293.0,2.93,32.29999,0.323,0.45604,-0.18944,-0.06648,951.517,1403.85667,14.03857,752.64444,7.52644,507.85667,5.07857,0.07143,-0.48413,-0.23107,896.0
100,Medium,0.1,7,962.9,961.96922,100,962.9,9.629,308.0,3.08,34.9,0.349,0.45604,-0.17857,-0.0142,961.969,1383.46667,13.83467,712.2,7.122,487.46667,4.87467,0.09643,-0.42857,-0.14624,896.0
100,Medium,0.1,8,987.7,986.61154,92,987.7,9.877,289.0,2.89,49.7,0.497,0.45604,-0.18944,-0.04652,986.612,1516.67273,15.16673,786.72727,7.86727,620.67273,6.20673,0.03634,-0.42857,-0.18797,896.0
100,Medium,0.1,9,994.8,993.25111,110,994.8,9.948,278.0,2.78,51.8,0.518,0.45604,-0.18944,-0.05229,993.251,1475.71187,14.75712,711.0396,7.1104,579.71187,5.79712,0.13203,-0.42857,-0.20119,896.0
100,Medium,0.1,10,1000.8,999.8841,95,1000.8,10.008,269.0,2.69,61.8,0.618,0.6581,-0.18944,-0.01612,999.884,1475.4,14.754,712.42857,7.12429,579.4,5.794,0.07143,-0.45489,-0.16642,896.0
